00-Cfg,00-Index,01-Date,02-Open,03-Low,04-High,05-Close,06-Buy,07-Sell,08-Profit,09-Actual,10-Prediction,11-Pred_Result,12-Deal
,, 2017/01/06,2323.01,2308.37,2326.43,2308.94,0.0,0.0,0.0,2321.69,2325.594482421875,,
,, 2017/01/09,2308.44,2307.16,2321.69,2318.34,0.0,0.0,0.0,2321.0,2337.0771484375,,
,, 2017/01/10,2316.16,2309.94,2321.0,2312.6,0.0,0.0,0.0,2317.66,2329.25634765625,,
,, 2017/01/11,2311.92,2299.31,2317.66,2300.47,0.0,0.0,0.0,2310.78,2317.97314453125,,
,, 2017/01/12,2299.49,2294.32,2310.78,2295.4,0.0,0.0,0.0,2315.21,2312.449951171875,,
,, 2017/01/13,2293.47,2291.06,2315.21,2308.06,0.0,0.0,0.0,2343.27,2327.712646484375,,
,, 2017/01/16,2303.32,2282.24,2343.27,2337.39,0.0,0.0,0.0,2332.84,2361.702880859375,,
,, 2017/01/17,2326.01,2320.03,2332.84,2329.6,0.0,0.0,0.0,2349.39,2339.7744140625,,
,, 2017/01/18,2330.14,2327.93,2349.39,2342.78,0.0,0.0,0.0,2349.64,2359.27294921875,,
,, 2017/01/19,2335.66,2330.34,2349.64,2334.96,0.0,0.0,0.0,2350.26,2354.5146484375,,
,, 2017/01/20,2334.49,2333.47,2350.26,2347.18,0.0,0.0,0.0,2358.47,2363.112060546875,,
,, 2017/01/23,2350.55,2340.53,2358.47,2347.1,0.0,0.0,0.0,2357.17,2363.7119140625,,
,, 2017/01/24,2347.5,2343.46,2357.17,2352.42,0.0,0.0,0.0,2358.95,2368.4228515625,,
,, 2017/01/25,2349.52,2345.7,2358.95,2358.7,0.0,0.0,0.0,2371.93,2371.906005859375,,
,, 2017/01/26,2359.43,2359.43,2371.93,2364.02,0.0,0.0,0.0,2368.91,2379.1728515625,,
,, 2017/02/03,2367.53,2338.2,2368.91,2339.99,0.0,0.0,0.0,2351.56,2352.035888671875,,
,, 2017/02/06,2346.44,2336.9,2351.56,2343.97,0.0,0.0,0.0,2347.36,2361.13037109375,,
,, 2017/02/07,2343.66,2331.78,2347.36,2337.53,0.0,0.0,0.0,2347.1,2352.07666015625,,
,, 2017/02/08,2334.68,2323.91,2347.1,2346.43,0.0,0.0,0.0,2364.14,2362.807373046875,,
,, 2017/02/09,2345.84,2343.73,2364.14,2354.9,0.0,0.0,0.0,2374.48,2375.98193359375,,
,, 2017/02/10,2357.59,2357.21,2374.48,2368.18,0.0,0.0,0.0,2382.92,2393.72314453125,,
,, 2017/02/13,2369.7,2369.49,2382.92,2379.31,0.0,0.0,0.0,2381.63,2401.205810546875,,
,, 2017/02/14,2381.1,2367.05,2381.63,2373.51,0.0,0.0,0.0,2385.12,2385.94189453125,,
,, 2017/02/15,2375.62,2369.43,2385.12,2372.19,0.0,0.0,0.0,2378.45,2398.36474609375,,
,, 2017/02/16,2373.31,2366.16,2378.45,2376.76,0.0,0.0,0.0,2389.32,2394.5185546875,,
,, 2017/02/17,2378.66,2361.0,2389.32,2362.71,0.0,0.0,0.0,2395.53,2382.755615234375,,
,, 2017/02/20,2361.76,2361.51,2395.53,2394.12,0.0,0.0,0.0,2410.35,2422.394287109375,,
,, 2017/02/21,2396.22,2393.37,2410.35,2396.88,0.0,0.0,0.0,2399.4,2417.4990234375,,
,, 2017/02/22,2397.49,2389.06,2399.4,2398.19,0.0,0.0,0.0,2402.57,2412.94482421875,,
,, 2017/02/23,2397.56,2379.56,2402.57,2387.42,0.0,0.0,0.0,2390.39,2403.815673828125,,
,, 2017/02/24,2385.05,2377.1,2390.39,2389.88,0.0,0.0,0.0,2387.82,2408.84033203125,,
,, 2017/02/27,2384.92,2365.47,2387.82,2370.56,0.0,0.0,0.0,2379.43,2386.76171875,,
,, 2017/02/28,2369.47,2366.24,2379.43,2370.71,0.0,0.0,0.0,2383.51,2386.19921875,,
,, 2017/03/01,2371.65,2368.62,2383.51,2371.93,0.0,0.0,0.0,2380.24,2393.522216796875,,
,, 2017/03/02,2376.97,2354.14,2380.24,2354.91,0.0,0.0,0.0,2350.67,2371.571533203125,,
,, 2017/03/03,2347.91,2338.85,2350.67,2347.15,0.0,0.0,0.0,2355.09,2363.69873046875,,
,, 2017/03/06,2346.04,2342.52,2355.09,2349.89,0.0,0.0,0.0,2356.96,2366.866943359375,,
,, 2017/03/07,2349.62,2347.17,2356.96,2356.29,0.0,0.0,0.0,2362.96,2372.578857421875,,
,, 2017/03/08,2353.62,2351.7,2362.96,2358.07,0.0,0.0,0.0,2353.54,2376.032470703125,,
,, 2017/03/09,2352.75,2334.34,2353.54,2346.55,0.0,0.0,0.0,2347.46,2362.083251953125,,
