volume,volume_size,volume_used_size,fs_type,file_count,total_memory,free_memory,shared_memory,cached_memory,cpu_count,average_cpu_usage_on_previous_one_minute,average_cpu_usage_on_previous_five_minute,average_cpu_usage_on_previous_fifteen_minute,num_extents,num_bytes_read,num_bytes_write,square_sum_head_move,square_sum_read,backup_elapsed_time
/lvm/fsa-10G-ext4,10190100,6434992,3,100,3881340,1888844,17532,1810616,2,1.19,4.6,4.4,3350,7007633408,7007633408,2.24083E+11,2.2415E+11,78522531
/lvm/fsa-10G-ext4,10190100,6434992,3,100,3881340,1893372,17528,1808040,2,1.05,3.76,4.12,14,11534336,7007633408,207618048,274726912,36294
/lvm/fsa-1G-ext3,999320,984292,2,5,3881340,1892180,17540,1808088,2,0.96,3.69,4.1,525,1083179008,1083179008,34500247552,34567356416,8626967
/lvm/fsa-1G-ext3,999320,984292,2,5,3881340,1894616,17540,1808204,2,0.9,3.59,4.06,14,11534336,1083179008,207618048,274726912,36218
/lvm/fsa-1G-ext4,999320,858308,3,9,3881340,1892132,17540,1808276,2,0.9,3.55,4.04,464,955252736,955252736,30406606848,30473715712,11489585
/lvm/fsa-1G-ext4,999320,858308,3,9,3881340,1894024,17540,1808560,2,0.92,3.46,4.01,14,11534336,955252736,207618048,274726912,44520
/lvm/fsa-20G-ext3,20511356,10871808,2,194,3881340,1891388,17528,1808544,2,0.85,3.4,3.99,6951,14559477760,14559477760,4.65742E+11,4.65809E+11,119885874
/lvm/fsa-20G-ext3,20511356,10871808,2,194,3881340,1898884,17540,1802268,2,0.96,2.57,3.61,14,11534336,14559477760,207618048,274726912,48158
/lvm/fsa-20G-ext4,20511312,10781888,3,189,3881340,1896744,17528,1802552,2,0.88,2.53,3.59,5525,11568939008,11568939008,3.70045E+11,3.70112E+11,107742497
/lvm/fsa-20G-ext4,20511312,10781888,3,189,3881340,1898540,17540,1802168,2,1.01,2.05,3.29,14,11534336,11568939008,207618048,274726912,37532
/lvm/fsa-2G-ext3,1998672,1362832,2,24,3881340,1896448,17540,1802200,2,0.93,2.01,3.28,828,1718616064,1718616064,54834233344,54901342208,21408109
/lvm/fsa-2G-ext3,1998672,1362832,2,24,3881340,1898236,17528,1802176,2,0.95,1.93,3.22,14,11534336,1718616064,207618048,274726912,36697
/lvm/fsa-2G-ext4,1998672,1835828,3,20,3881340,1896136,17528,1802352,2,0.95,1.93,3.22,973,2022703104,2022703104,64565018624,64632127488,25399203
/lvm/fsa-2G-ext4,1998672,1835828,3,20,3881340,1897808,17528,1802156,2,0.92,1.83,3.14,14,11534336,2022703104,207618048,274726912,37329
/lvm/fsa-50G-ext3,51475068,5071468,2,97,3881340,1896512,17540,1802256,2,0.84,1.8,3.12,4052,8479834112,8479834112,2.71193E+11,2.7126E+11,83350652
/lvm/fsa-50G-ext3,51475068,5071468,2,97,3881340,1897056,17528,1802368,2,0.96,1.6,2.94,14,11534336,8479834112,207618048,274726912,49165
/lvm/fsa-50G-ext4,51474912,10482136,3,200,3881340,1895428,17528,1802260,2,0.96,1.59,2.93,5637,11803820032,11803820032,3.77561E+11,3.77628E+11,100754362
/lvm/fsa-50G-ext4,51474912,10482136,3,200,3881340,1894216,17528,1802440,2,1.13,1.48,2.75,14,11534336,11803820032,207618048,274726912,55451
/lvm/fsa-5G-ext3,5029504,3320700,2,53,3881340,1893524,17540,1802572,2,1.04,1.46,2.73,2111,4409262080,4409262080,1.40935E+11,1.41002E+11,39825063
/lvm/fsa-5G-ext3,5029504,3320700,2,53,3881340,1896724,17540,1802412,2,1.02,1.4,2.66,14,11534336,4409262080,207618048,274726912,37677
/lvm/fsa-5G-ext4,5029504,3293268,3,49,3881340,1895520,17528,1802344,2,0.94,1.38,2.64,1753,3658481664,3658481664,1.1691E+11,1.16977E+11,35733645
/lvm/fsa-5G-ext4,5029504,3293268,3,49,3881340,1896824,17528,1802384,2,1.01,1.34,2.58,14,11534336,3658481664,207618048,274726912,51893
/lvm/fsa-100G-ext3,103081248,8871820,2,178,3881340,118312,17496,3588384,2,14.49,8.37,5.09,6064,12699303936,12699303936,4.06216E+11,4.06283E+11,88306798
/lvm/fsa-100G-ext3,103081248,8871820,2,178,3881340,1902992,17508,1801620,2,2.56,6.41,5.03,14,11534336,12699303936,207618048,274726912,42626
/lvm/fsa-100G-ext4,103080888,3934676,3,83,3881340,1903524,17508,1801260,2,2.43,6.32,5.01,2877,6015680512,6015680512,1.9234E+11,1.92407E+11,50730147
/lvm/fsa-100G-ext4,103080888,3934676,3,83,3881340,1902564,17508,1800948,2,1.51,5.41,4.78,14,11534336,6015680512,207618048,274726912,37065
/lvm/fsa-10G-ext3,10190136,8436836,2,11,3881340,1898800,17508,1800984,2,1.39,5.32,4.75,4484,9385803776,9385803776,3.00184E+11,3.00251E+11,90669999
/lvm/fsa-10G-ext3,10190136,8436836,2,11,3881340,1667692,17512,1925568,2,1.34,4.22,4.41,14,11534336,9385803776,207618048,274726912,55146
/lvm/fsa-10G-ext4,10190100,6744792,3,100,3881340,1672700,17512,1941644,2,1.47,4.2,4.4,3513,7349469184,7349469184,2.35022E+11,2.35089E+11,116970396
/lvm/fsa-10G-ext4,10190100,6744792,3,100,3881340,1978912,17516,1718116,2,1.24,3.25,4.03,14,11534336,7349469184,207618048,274726912,48136
/lvm/fsa-1G-ext3,999320,999320,2,5,3881340,1976856,17516,1718536,2,1.14,3.2,4.01,525,1083179008,1083179008,34500247552,34567356416,7985995
/lvm/fsa-1G-ext3,999320,999320,2,5,3881340,1979652,17504,1718596,2,1.05,3.11,3.98,14,11534336,1083179008,207618048,274726912,36509
/lvm/fsa-1G-ext4,999320,943888,3,9,3881340,1977444,17516,1718708,2,0.96,3.06,3.95,508,1047527424,1047527424,33359396864,33426505728,11604441
/lvm/fsa-1G-ext4,999320,943888,3,9,3881340,1971180,17504,1726404,2,0.97,2.95,3.91,14,11534336,1047527424,207618048,274726912,44975
/lvm/fsa-20G-ext3,20511356,11078516,2,194,3881340,1968908,17516,1726268,2,0.97,2.95,3.91,7202,15085862912,15085862912,4.82586E+11,4.82653E+11,137035366
/lvm/fsa-20G-ext3,20511356,11078516,2,194,3881340,1989344,17488,1712476,2,0.95,2.21,3.5,14,11534336,15085862912,207618048,274726912,49579
/lvm/fsa-20G-ext4,20511312,10986992,3,189,3881340,1986896,17476,1712752,2,0.87,2.17,3.48,5622,11772362752,11772362752,3.76554E+11,3.76621E+11,118402302
/lvm/fsa-20G-ext4,20511312,10986992,3,189,3881340,1989648,17488,1712348,2,0.99,1.78,3.17,14,11534336,11772362752,207618048,274726912,36927
/lvm/fsa-2G-ext3,1998672,1402324,2,24,3881340,1987220,17488,1712876,2,0.99,1.78,3.17,853,1771044864,1771044864,56511954944,56579063808,22345906
/lvm/fsa-2G-ext3,1998672,1402324,2,24,3881340,1988816,17488,1712748,2,0.94,1.7,3.11,14,11534336,1771044864,207618048,274726912,37560
/lvm/fsa-2G-ext4,1998672,1982288,3,20,3881340,1986860,17488,1712860,2,0.86,1.68,3.09,1037,2156920832,2156920832,68859985920,68927094784,26747369
/lvm/fsa-2G-ext4,1998672,1982288,3,20,3881340,1989444,17480,1711428,2,0.92,1.61,3.02,14,11534336,2156920832,207618048,274726912,37658
