index,date,open,low,high,close,open,low,high,close,vol,y-1day_high
, 2004/04/14,1072.2,1052.92,1074.63,1065.68,1072.2,1052.92,1074.63,1065.68,4838037,1072.24
, 2004/04/15,1066.18,1053.08,1072.24,1055.89,1066.18,1053.08,1072.24,1055.89,3601203,1071.55
, 2004/04/16,1056.8,1049.03,1071.55,1071.23,1056.8,1049.03,1071.55,1071.23,4437637,1073.4
, 2004/04/19,1072.5,1052.5,1073.4,1054.74,1072.5,1052.5,1073.4,1054.74,4078683,1059.42
, 2004/04/20,1053.44,1045.2,1059.42,1052.24,1053.44,1045.2,1059.42,1052.24,3393887,1061.65
, 2004/04/21,1053.38,1040.37,1061.65,1043.53,1053.38,1040.37,1061.65,1043.53,4492804,1055.21
, 2004/04/22,1042.47,1039.35,1055.21,1050.76,1042.47,1039.35,1055.21,1050.76,4135646,1048.27
, 2004/04/23,1048.23,1032.87,1048.27,1034.41,1048.23,1032.87,1048.27,1034.41,3236349,1041.59
, 2004/04/26,1034.04,1030.06,1041.59,1039,1034.04,1030.06,1041.59,1039,2507985,1045.24
, 2004/04/27,1040.92,1027.56,1045.24,1031.22,1040.92,1027.56,1045.24,1031.22,3599316,1034.91
, 2004/04/28,1028.46,1015.87,1034.91,1029.81,1028.46,1015.87,1034.91,1029.81,3733428,1037.75
, 2004/04/29,1028.58,1015.5,1037.75,1016.51,1028.58,1015.5,1037.75,1016.51,4811469,1029.62
, 2004/04/30,1017.64,1011.21,1029.62,1025.95,1017.64,1011.21,1029.62,1025.95,4781896,1031.02
, 2004/05/10,1028.46,993.64,1031.02,996.16,1028.46,993.64,1031.02,996.16,2797285,1006.17
, 2004/05/11,994.05,989.31,1006.17,1003.9,994.05,989.31,1006.17,1003.9,2133185,1025.41
, 2004/05/12,1004.8,1001.97,1025.41,1025.02,1004.8,1001.97,1025.41,1025.02,3201941,1026.82
, 2004/05/13,1026.67,1016.25,1026.82,1021,1026.67,1016.25,1026.82,1021,2105181,1021.31
, 2004/05/14,1020.9,994.95,1021.31,997.95,1020.9,994.95,1021.31,997.95,2675898,999.45
, 2004/05/17,993.14,980.67,999.45,981.74,993.14,980.67,999.45,981.74,2975704,989.5
, 2004/05/18,978.3,966.06,989.5,989.21,978.3,966.06,989.5,989.21,5222881,1001.9
, 2004/05/19,989.87,981.12,1001.9,988.92,989.87,981.12,1001.9,988.92,3852344,1000.27
, 2004/05/20,988.99,981.28,1000.27,985.93,988.99,981.28,1000.27,985.93,2613295,995.18
, 2004/05/21,985.93,985.14,995.18,994.45,985.93,985.14,995.18,994.45,2583702,997.72
, 2004/05/24,995.08,989.21,997.72,991.85,995.08,989.21,997.72,991.85,2052457,992
, 2004/05/25,991.77,977.22,992,978.59,991.77,977.22,992,978.59,2311800,986.94
, 2004/05/26,976.52,972.41,986.94,985,976.52,972.41,986.94,985,1774624,1006.69
, 2004/05/27,984.58,977.73,1006.69,1003.29,984.58,977.73,1006.69,1003.29,4014932,1005.88
, 2004/05/28,1003.93,994.41,1005.88,995.64,1003.93,994.41,1005.88,995.64,2102533,1003.76
, 2004/05/31,995.83,994.68,1003.76,1001.19,995.83,994.68,1003.76,1001.19,1787673,1014.21
, 2004/06/01,1000.28,999.33,1014.21,1014.17,1000.28,999.33,1014.21,1014.17,2904102,1014.71
, 2004/06/02,1014.31,999.22,1014.71,1001.69,1014.31,999.22,1014.71,1001.69,2656618,1001.14
, 2004/06/03,1001,985.1,1001.14,986.45,1001,985.1,1001.14,986.45,2088334,992.03
, 2004/06/04,985.55,981.61,992.03,986.22,985.55,981.61,992.03,986.22,2090802,984.08
, 2004/06/07,984.04,967.64,984.08,973.22,984.04,967.64,984.08,973.22,2163271,974.65
, 2004/06/08,971.03,952.84,974.65,954.77,971.03,952.84,974.65,954.77,3290360,956.68
, 2004/06/09,952.19,938.96,956.68,941.3,952.19,938.96,956.68,941.3,3092361,951.35
, 2004/06/10,939.5,936.64,951.35,944.25,939.5,936.64,951.35,944.25,2851585,961.57
, 2004/06/11,947.5,941.54,961.57,942.86,947.5,941.54,961.57,942.86,2948907,941.04
, 2004/06/14,941.04,919.53,941.04,924.59,941.04,919.53,941.04,924.59,2891000,948.28
, 2004/06/15,922.93,919.96,948.28,942.68,922.93,919.96,948.28,942.68,3057255,959
, 2004/06/16,943.36,933.48,959,947.16,943.36,933.48,959,947.16,3362611,948.36
, 2004/06/17,946.56,924.79,948.36,926.04,946.56,924.79,948.36,926.04,2590711,922.34
, 2004/06/18,922.34,899.27,922.34,910.19,922.34,899.27,922.34,910.19,3572027,913.91
, 2004/06/21,904.95,899.22,913.91,909.05,904.95,899.22,913.91,909.05,2125600,924.62
, 2004/06/22,908.86,905.94,924.62,918.8,908.86,905.94,924.62,918.8,2503213,918.43
, 2004/06/23,918.43,905.41,918.43,912.85,918.43,905.41,918.43,912.85,2227283,918.32
, 2004/06/24,911.36,905,918.32,906.42,911.36,905,918.32,906.42,2311606,912.88
, 2004/06/25,904.47,890.22,912.88,891.79,904.47,890.22,912.88,891.79,2448648,892.58
, 2004/06/28,887.16,880.53,892.58,883.76,887.16,880.53,892.58,883.76,2246053,901.39
, 2004/06/29,885.06,877.32,901.39,901.05,885.06,877.32,901.39,901.05,3139659,907.37
, 2004/06/30,900.34,894.19,907.37,897.71,900.34,894.19,907.37,897.71,2700638,927.62
, 2004/07/01,896.38,896.01,927.62,925,896.38,896.01,927.62,925,4460071,931.42
, 2004/07/02,924.08,917.04,931.42,926.62,924.08,917.04,931.42,926.62,3160892,928.75
, 2004/07/05,925.37,919,928.75,928.67,925.37,919,928.75,928.67,3307349,944.29
, 2004/07/06,928.76,928.39,944.29,931.88,928.76,928.39,944.29,931.88,4226025,930.74
, 2004/07/07,930.68,921.24,930.74,923.86,930.68,921.24,930.74,923.86,2119085,927.37
, 2004/07/08,922.63,917.47,927.37,927.03,922.63,917.47,927.37,927.03,2079327,936.92
, 2004/07/09,927.22,922.28,936.92,923.2,927.22,922.28,936.92,923.2,2256253,919.79
, 2004/07/12,919.79,901.52,919.79,904.55,919.79,901.52,919.79,904.55,2528343,909.93
, 2004/07/13,902.27,898.08,909.93,906.97,902.27,898.08,909.93,906.97,2118867,914.71
, 2004/07/14,907.52,897.23,914.71,912.19,907.52,897.23,914.71,912.19,3050080,926.25
, 2004/07/15,912.92,909.65,926.25,925.68,912.92,909.65,926.25,925.68,4554943,948.85
, 2004/07/16,927.4,926.43,948.85,946.18,927.4,926.43,948.85,946.18,8371489,954.16
, 2004/07/19,946.34,938.69,954.16,947.42,946.34,938.69,954.16,947.42,4251248,946.01
, 2004/07/20,945.73,934.72,946.01,939.22,945.73,934.72,946.01,939.22,3715869,943.11
, 2004/07/21,937.45,932.28,943.11,940.51,937.45,932.28,943.11,940.51,2326508,941.76
, 2004/07/22,940.38,910.21,941.76,913.14,940.38,910.21,941.76,913.14,4832675,915.95
, 2004/07/23,910.21,901.76,915.95,915.04,910.21,901.76,915.95,915.04,4391591,914.24
, 2004/07/26,910.31,899.64,914.24,903.75,910.31,899.64,914.24,903.75,2626175,909.44
, 2004/07/27,902.9,896.24,909.44,903.32,902.9,896.24,909.44,903.32,2956938,914.04
, 2004/07/28,904.29,891.72,914.04,906.05,904.29,891.72,914.04,906.05,3524551,918.86
, 2004/07/29,905.67,905.54,918.86,918.79,905.67,905.54,918.86,918.79,4066012,920.52
, 2004/07/30,919.94,905.63,920.52,906.27,919.94,905.63,920.52,906.27,3201300,905.9
, 2004/08/02,901.81,897.61,905.9,900.02,901.81,897.61,905.9,900.02,1996493,905.3
, 2004/08/03,898.49,891.76,905.3,893.3,898.49,891.76,905.3,893.3,2333146,938.23
, 2004/08/04,893.06,888.79,938.23,923.02,893.06,888.79,938.23,923.02,7671835,929.26
, 2004/08/05,919.84,907.7,929.26,909.08,919.84,907.7,929.26,909.08,4403874,920.02
, 2004/08/06,908.33,904.55,920.02,911.55,908.33,904.55,920.02,911.55,3389741,922.94
, 2004/08/09,909.42,906.66,922.94,920.76,909.42,906.66,922.94,920.76,2936670,927.93
, 2004/08/10,921.7,918.08,927.93,926.54,921.7,918.08,927.93,926.54,2537302,926.94
, 2004/08/11,926.48,911.86,926.94,914.61,926.48,911.86,926.94,914.61,2506016,909.68
, 2004/08/12,909.68,899.66,909.68,907.83,909.68,899.66,909.68,907.83,2661774,914.54
, 2004/08/13,901.26,898.73,914.54,907,901.26,898.73,914.54,907,3755422,912.12
, 2004/08/16,905.52,901.45,912.12,904.01,905.52,901.45,912.12,904.01,2578844,912.7
, 2004/08/17,903.78,898.87,912.7,910.86,903.78,898.87,912.7,910.86,2079082,922.17
, 2004/08/18,910.93,910.41,922.17,911.85,910.93,910.41,922.17,911.85,2593997,911.48
, 2004/08/19,911.48,898.99,911.48,903.32,911.48,898.99,911.48,903.32,2478489,909.52
, 2004/08/20,900.85,896.7,909.52,904.83,900.85,896.7,909.52,904.83,2524753,903.21
, 2004/08/23,903.19,889.03,903.21,889.66,903.19,889.03,903.21,889.66,2073584,900.31
, 2004/08/24,887.91,883.26,900.31,897.77,887.91,883.26,900.31,897.77,2423679,899.26
, 2004/08/25,897.65,892.14,899.26,894.37,897.65,892.14,899.26,894.37,1545016,895.65
, 2004/08/26,893.45,886.43,895.65,892.1,893.45,886.43,895.65,892.1,1530230,894.89
, 2004/08/27,891.99,879.66,894.89,883.7,891.99,879.66,894.89,883.7,2079712,884.71
, 2004/08/30,880.65,876.55,884.71,882.05,880.65,876.55,884.71,882.05,1639113,908.21
, 2004/08/31,896.86,888.37,908.21,895.78,896.86,888.37,908.21,895.78,2910152,894.62
, 2004/09/01,894.62,879.4,894.62,880.54,894.62,879.4,894.62,880.54,2020124,882.63
, 2004/09/02,878.63,867.02,882.63,881.57,878.63,867.02,882.63,881.57,3159288,884.16
, 2004/09/03,882.08,875.38,884.16,879.42,882.08,875.38,884.16,879.42,1597271,879.27
, 2004/09/06,878.4,871.15,879.27,874.69,878.4,871.15,879.27,874.69,1700447,878.86
, 2004/09/07,874.1,869.87,878.86,877.77,874.1,869.87,878.86,877.77,1597379,877.75
, 2004/09/08,877.14,858.86,877.75,864.59,877.14,858.86,877.75,864.59,3834097,862.54
, 2004/09/09,862.36,847.07,862.54,848.46,862.36,847.07,862.54,848.46,2960520,852.65
, 2004/09/10,846.38,839.93,852.65,851.97,846.38,839.93,852.65,851.97,1800976,850.22
, 2004/09/13,850.22,833.09,850.22,834.1,850.22,833.09,850.22,834.1,1863476,864.66
, 2004/09/14,838.55,838.55,864.66,860.1,838.55,838.55,864.66,860.1,3962947,905.63
, 2004/09/15,862.57,859.89,905.63,892.77,862.57,859.89,905.63,892.77,8520692,909.91
, 2004/09/16,899.9,893.38,909.91,903.4,899.9,893.38,909.91,903.4,6511723,932.82
, 2004/09/17,905.57,901.65,932.82,932.32,905.57,901.65,932.82,932.32,9875806,965.29
, 2004/09/20,939.42,938.46,965.29,965.11,939.42,938.46,965.29,965.11,13134290,967.78
, 2004/09/21,967.56,947.78,967.78,955,967.56,947.78,967.78,955,9068592,957.47
, 2004/09/22,951.84,929.85,957.47,933.1,951.84,929.85,957.47,933.1,9021499,967.76
, 2004/09/23,931.67,926.37,967.76,967.32,931.67,926.37,967.76,967.32,6197820,991.73
, 2004/09/24,975.12,950.34,991.73,951.09,975.12,950.34,991.73,951.09,13635412,971.35
, 2004/09/27,964.02,940.37,971.35,946.14,964.02,940.37,971.35,946.14,6380104,954.1
